lang	text	created_at	coordinates.type	coordinates.coordinates.0	coordinates.coordinates.1	timestamp_ms	language_detections.0.confidence	source	place.country_code	place.url	place.country	place.place_type	place.bounding_box.type	place.bounding_box.coordinates.0.0.0	place.bounding_box.coordinates.0.0.1	place.bounding_box.coordinates.0.1.0	place.bounding_box.coordinates.0.1.1	place.bounding_box.coordinates.0.2.0	place.bounding_box.coordinates.0.2.1	place.bounding_box.coordinates.0.3.0	place.bounding_box.coordinates.0.3.1	place.full_name	place.name	id	user.lang	user.statuses_count	user.description	user.friends_count	user.url	user.time_zone	user.name	user.followers_count	user.screen_name	user.location	user.location_geocoding.type	user.location_geocoding.coordinates.0	user.location_geocoding.coordinates.1	user.favourites_count	user.geo_enabled	user.id	user.listed_count
it	@marfarri hahaha!! No anava per tu.	Wed Feb 17 12:00:21 +0000 2016				1455710421818	4.48	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/42d0cf7d49d27c95.json	United Kingdom	city	Polygon	-0.508684	51.455116	-0.508684	51.619006	-0.376038	51.619006	-0.376038	51.455116	Hillingdon, England	Hillingdon	699926355530674176	ca	30534	Si no vols pols, no vagis a l'era. There is a beast in man that should be exercised, not exorcised. Tweet first, think never. VIVA HATE.	234	http://soundcloud.com/pasuzu/barbados-by-viva-maestro	Madrid	Cabanetti	2532	PasuzuTweet	HELL	Point	10.9032872	63.445531	1662	true	174301812	38
und	@LukasHbr heu?	Wed Feb 17 13:52:24 +0000 2016				1455717144537	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/7f55e839e1715da2.json	United Kingdom	city	Polygon	-0.111476	51.419425	-0.111476	51.509947	-0.029731	51.509947	-0.029731	51.419425	Camberwell, England	Camberwell	699954552657866752	fr	45255		174		Greenland	garcimore	502	Paulinex21		Point	0	0	4209	true	339676946	2
und	@sandraamixer #VoteBlackMagicUK #KCA	Sun Feb 21 13:04:57 +0000 2016				1456059897932	0.01	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	GB	https://api.twitter.com/1.1/geo/id/8ef32ff56ef11c22.json	United Kingdom	admin	Polygon	-6.365194	49.882531	-6.365194	55.811649	1.768926	55.811649	1.768926	49.882531	Inglaterra, Reino Unido	Inglaterra	701392164593471489	pt	9114	espero tudo de um mundo que ignorou Little Me	235		Pacific Time (US & Canada)	Sandra	226	sandraamixer		Point	0	0	588	true	3293445136	4
en	Vegans annoy me 😒	Sun Feb 21 13:30:31 +0000 2016				1456061431237	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/5f73d127c7ccf9d9.json	United Kingdom	city	Polygon	-0.161749	51.294332	-0.161749	51.42353	-0.023517	51.42353	-0.023517	51.294332	Croydon, England	Croydon	701398595740815360	en	10391	Life is beautiful, but the World is hell	191	http://instagram.com/lauraesmee	Amsterdam	Laura Turner	241	LauraEsmeeOx	"London "	Point	-0.1276473	51.5073219	1341	true	419087559	3
und	@Rosmiester 😇😳😄	Sun Feb 21 14:33:57 +0000 2016				1456065237121	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/460c5314e8a33c64.json	United Kingdom	city	Polygon	-0.259465	51.417277	-0.259465	51.486036	-0.127974	51.486036	-0.127974	51.417277	Wandsworth, England	Wandsworth	701414558775296000	en	103914	20 || BCU Media Undergrad || Topshop Sales Assistant || Director and Founder of @The411TV	1653	http://Instagram.com/sophiebadman		Sophie.	4059	sophiebadman	Manchester|Birmingham	Point	-83.1930059	42.552157	6404	true	258857152	49
en	Next stop Barcelona! #MWC16	Sun Feb 21 15:22:56 +0000 2016				1456068176212	5.12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/3bc1b6cfd27ef7f6.json	United Kingdom	admin	Polygon	-0.74578	51.448222	-0.74578	52.992679	1.768936	52.992679	1.768936	51.448222	East, England	East	701426886216384512	en	427	Mobile Sales @Twitter London. Love to travel, cook, play rugby and do crossfit.	402		London	Kevan Merlehan	442	Kmerlehan	"London "	Point	-0.1276473	51.5073219	334	true	816987380	24
en	omg cesc	Sun Feb 21 16:14:40 +0000 2016				1456071280555	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/460c5314e8a33c64.json	United Kingdom	city	Polygon	-0.259465	51.417277	-0.259465	51.486036	-0.127974	51.486036	-0.127974	51.417277	Wandsworth, England	Wandsworth	701439906774708224	en	106202	⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀	646		Midway Island	melo	2109	M3LONADE	London, England	Point	-0.1276473	51.5073219	18449	true	384246236	15
en	@VitchMTFK Barcelone 😂	Sun Feb 21 16:54:52 +0000 2016				1456073692097	3.58	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/457b4814b4240d87.json	United Kingdom	city	Polygon	-0.187894	51.483718	-0.187894	51.516466	-0.109978	51.516466	-0.109978	51.483718	London, England	London	701450021514907649	fr	1158	Re...Do...Si..La...Sol	99			Redo	21	Redouane2202	London, England ☔️	Point	-0.1277583	51.5073509	332	true	3233998576	1
und	@OliviaMartin_xo 😂😂😂😂	Sun Feb 21 17:07:40 +0000 2016				1456074460760	4.48	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/3eea147b0091630a.json	United Kingdom	city	Polygon	0.401082	51.476574	0.401082	51.493767	0.426463	51.493767	0.426463	51.476574	Linford, England	Linford	701453245521207297	en	31375	@ayyawosika❤️	800			harriet	1512	Harrietwozniak		Point	0	0	3038	true	383664259	0
und	@iqclatzandpalan OMG	Sun Feb 21 17:13:11 +0000 2016				1456074791723	4.09	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	GB	https://api.twitter.com/1.1/geo/id/3abd70ca60af5075.json	United Kingdom	city	Polygon	-0.799282	51.583785	-0.799282	51.651902	-0.676246	51.651902	-0.676246	51.583785	High Wycombe, England	High Wycombe	701454633680691200	en	19285		450		Amsterdam	Noor✨	1229	_sereenharoon	wycombe	Point	-0.8078596	51.638511	7667	true	622107760	1
es	Bande de merdes. #OhNoDanielle	Sun Feb 21 18:02:36 +0000 2016				1456077756942	4.23	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/7f55e839e1715da2.json	United Kingdom	city	Polygon	-0.111476	51.419425	-0.111476	51.509947	-0.029731	51.509947	-0.029731	51.419425	Camberwell, England	Camberwell	701467070710603776	fr	91174	️️️️️️️️️️️️️️️️️️️️️️️« C'était comme si on s'apprêtait à se battre. Puis il s'est juste penché en avant et il m'a embrassé »	750		Paris	london	2370	dearjaidon		Point	0	0	4025	true	189190037	15
und	@zoeyfolie #vegan	Sun Feb 21 18:27:27 +0000 2016				1456079247958	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/457b4814b4240d87.json	United Kingdom	city	Polygon	-0.187894	51.483718	-0.187894	51.516466	-0.109978	51.516466	-0.109978	51.483718	London, England	London	701473324484993025	en	8527	Liberty	164	http://twitter.com/laurenacoates	Casablanca	LaurenLove	851	LaurenACoates	City of London, England	Point	-0.1277583	51.5073509	307	true	259667519	4
und	Algú recorda quan aquesta dona estava en contra del MWC? Fa pocs mesos... https://t.co/FEVI5GMxPv	Sun Feb 21 19:26:16 +0000 2016				1456082776977	5.72	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/08be9e4ebe3d037d.json	United Kingdom	city	Polygon	-0.080028	51.48432	-0.080028	51.545341	0.009989	51.545341	0.009989	51.48432	Poplar, England	Poplar	701488126263431168	ca	14757	Oh, trista Espanya	382		Athens	N	427	_lben_		Point	0	0	1167	true	229411465	6
fr	@aurelieguivarch @RabbiJacoob hâte d'entendre tt ça 😂😂😂	Sun Feb 21 19:36:33 +0000 2016				1456083393334	0.01	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	GB	https://api.twitter.com/1.1/geo/id/5f73d127c7ccf9d9.json	United Kingdom	city	Polygon	-0.161749	51.294332	-0.161749	51.42353	-0.023517	51.42353	-0.023517	51.294332	Croydon, England	Croydon	701490711452057600	en	13220		111		Casablanca	Marylène	136	Marylenedott	London	Point	-0.1276473	51.5073219	15539	true	1013768216	16
